iter	Logloss
0	0.6778019898
1	0.6602721154
2	0.6465613972
3	0.6331926406
4	0.6192082261
5	0.6086056836
6	0.5978952053
7	0.589369813
8	0.5775112059
9	0.5681799882
10	0.557326175
11	0.5478065435
12	0.5404054775
13	0.533664804
14	0.527292347
15	0.5210378743
16	0.5160023871
17	0.5093146675
18	0.5027034964
19	0.4983109405
20	0.4926868305
21	0.4878508579
22	0.483518524
23	0.4799442604
24	0.4770736876
25	0.4722767689
26	0.4683944113
27	0.4642122442
28	0.4616628587
29	0.4579806708
30	0.4556924537
31	0.4534223818
32	0.451026064
33	0.4485288154
34	0.4463572751
35	0.443987864
36	0.4412189444
37	0.4386030378
38	0.4368915425
39	0.43510235
40	0.4334027765
41	0.4317686248
42	0.4299019085
43	0.4277562969
44	0.4261405588
45	0.424252906
46	0.4230334297
47	0.421872831
48	0.4205844207
49	0.4190251606
50	0.4178296104
51	0.4164584803
52	0.4154642642
53	0.4144995737
54	0.4136013626
55	0.4126983853
56	0.411727291
57	0.4106321702
58	0.4098564402
59	0.4087009915
60	0.4073817324
61	0.4065887875
62	0.4056213268
63	0.4048697033
64	0.4038667886
65	0.4029395768
66	0.4021799017
67	0.4014367879
68	0.4009142889
69	0.4002733872
70	0.3995858868
71	0.3987513055
72	0.3983747775
73	0.3979732124
74	0.3972193931
75	0.3967365362
76	0.3964707507
77	0.3957805574
78	0.3951997732
79	0.394771107
80	0.3942402481
81	0.3936790816
82	0.3934556226
83	0.3929648217
84	0.3924467338
85	0.3919494363
86	0.3912719574
87	0.3908352267
88	0.3904658981
89	0.3901467007
90	0.3897538353
91	0.3892366465
92	0.3888437642
93	0.3881626005
94	0.3877847173
95	0.3873446934
96	0.3869678136
97	0.3865901685
98	0.3862545354
99	0.3858954702
100	0.3855246835
101	0.3851393608
102	0.3847603831
103	0.3844853512
104	0.3839382632
105	0.3836568205
106	0.3833342656
107	0.3830744864
108	0.3828055493
109	0.3825407469
110	0.3821948598
111	0.3819193235
112	0.3814274459
113	0.3809433001
114	0.3806975812
115	0.3804356283
116	0.3801633222
117	0.3798830483
118	0.3796439332
119	0.3792659754
120	0.3789824874
121	0.378757772
122	0.37855404
123	0.3781858899
124	0.3778502473
125	0.3775106228
126	0.3772899483
127	0.3770383847
128	0.3767839889
129	0.3765346585
130	0.376218233
131	0.3760078499
132	0.3757350422
133	0.3754478214
134	0.3751730061
135	0.3748959171
136	0.3746800397
137	0.3744833859
138	0.3742643179
139	0.3740228131
140	0.3738000329
141	0.373602487
142	0.3734101639
143	0.3732196663
144	0.3728806784
145	0.372636025
146	0.3723513308
147	0.3721220862
148	0.3719122079
149	0.3717044542
150	0.3715126716
151	0.3711976911
152	0.3708996639
153	0.3706147435
154	0.3703261762
155	0.3700202107
156	0.3697669228
157	0.3695562271
158	0.3693391346
159	0.3691999903
160	0.3689972503
161	0.3687977749
162	0.3685573197
163	0.3683870833
164	0.3679249281
165	0.3676813338
166	0.3674067512
167	0.3671864417
168	0.3670331213
169	0.366850735
170	0.3665582838
171	0.3663554527
172	0.3661853417
173	0.3660728859
174	0.3658660211
175	0.3655775761
176	0.3653921014
177	0.3651670852
178	0.3649678803
179	0.3648276884
180	0.3646634139
181	0.3645076151
182	0.3643489846
183	0.3642325128
184	0.3640421939
185	0.3638881255
186	0.3637267435
187	0.3635092025
188	0.3633997538
189	0.3631620348
190	0.3629589067
191	0.3625778627
192	0.3624171114
193	0.3622801211
194	0.3620224867
195	0.3617556615
196	0.3616048058
197	0.36135082
198	0.3610782625
199	0.3608784903
200	0.360546977
201	0.3603401307
202	0.360047943
203	0.3598187355
204	0.3595645441
205	0.3593634264
206	0.3591687453
207	0.3589977446
208	0.3587394283
209	0.358562212
210	0.3583523997
211	0.3582075564
212	0.3579823471
213	0.3577735681
214	0.3576083014
215	0.3573674749
216	0.3571025092
217	0.3569421833
218	0.3568463172
219	0.3566485961
220	0.3564013674
221	0.3562081136
222	0.3559684941
223	0.355848771
224	0.3557061768
225	0.3555955342
226	0.3554445893
227	0.3552867519
228	0.3550172687
229	0.3548395141
230	0.3547542801
231	0.3545607385
232	0.3543786955
233	0.3541678618
234	0.3539905947
235	0.3538348429
236	0.3536455001
237	0.353491984
238	0.3533264047
239	0.3531540123
240	0.3530085778
241	0.3527770627
242	0.3526653936
243	0.3524374713
244	0.3522576483
245	0.3521408713
246	0.3519543381
247	0.3517470687
248	0.3515353642
249	0.3513890591
250	0.3510758878
251	0.3509335262
252	0.3507688407
253	0.3505818837
254	0.3505118048
255	0.350282734
256	0.350197833
257	0.350013849
258	0.3497789917
259	0.3495813067
260	0.3494813948
261	0.3492919794
262	0.3491284608
263	0.3489142756
264	0.3487847448
265	0.3486604166
266	0.3485309985
267	0.3483720102
268	0.3483524592
269	0.3482255601
270	0.3480804172
271	0.3479635705
272	0.3477593551
273	0.3475559118
274	0.3474487593
275	0.3472498104
276	0.3471137448
277	0.3470264702
278	0.3468077713
279	0.3466298745
280	0.3463901628
281	0.3462688743
282	0.3461202741
283	0.34599083
284	0.3456491226
285	0.3455379438
286	0.3453870222
287	0.3451352682
288	0.3450107967
289	0.3448963246
290	0.3446968731
291	0.344564135
292	0.3443868724
293	0.3441957511
294	0.3441076308
295	0.3438467033
296	0.3436935881
297	0.3435452409
298	0.3432999001
